Round,Global_Loss,Global_Accuracy
1,2.310187602440516,0.07933333175381024
2,2.194661845664183,0.36666667064030967
3,2.093396937906742,0.6193333300749461
4,1.999497368534406,0.6890000052452088
5,1.9124160202741622,0.717666676123937
6,1.8317481672565141,0.7323333477179209
7,1.7571136619746683,0.7443333300749461
8,1.6881244165599347,0.7530000104904175
9,1.624384376277526,0.7599999952316284
10,1.565497785826524,0.7676666522820791
11,1.5110766090552012,0.7730000009536744
12,1.4607482788761457,0.7783333198229472
13,1.4141610052287579,0.782333323876063
14,1.3709866070002317,0.7876666725476582
15,1.3309211032440265,0.791333325544993
16,1.2936866262008746,0.7946666572888692
17,1.2590291820367177,0.8003333272139231
18,1.2267182545935116,0.8023333441416423
19,1.1965453824127714,0.8059999971389771
20,1.168322450702389,0.8083333353201548
